DAY,Price,Cash,Shares,PortfolioValue,Action
0,8912.77,38826.30,0,38826.30,HOLD
1,9059.38,38826.30,0,38826.30,HOLD
2,9231.14,29595.16,1,38826.30,BUY
3,9334.13,29595.16,1,38929.29,HOLD
4,9185.18,38780.34,0,38780.34,SELL
5,9505.68,29274.66,1,38780.34,BUY
6,9650.02,38924.68,0,38924.68,SELL
7,9542.33,29382.35,1,38924.68,BUY
8,8264.16,37646.51,0,37646.51,SELL
9,8375.13,37646.51,0,37646.51,HOLD
10,7219.09,37646.51,0,37646.51,HOLD
11,6854.67,37646.51,0,37646.51,HOLD
12,7491.14,37646.51,0,37646.51,HOLD
13,7288.11,37646.51,0,37646.51,HOLD
14,8035.95,29610.56,1,37646.51,BUY
15,8553.38,38163.94,0,38163.94,SELL
16,8697.37,29466.57,1,38163.94,BUY
17,8537.83,38004.40,0,38004.40,SELL
18,9053.17,38004.40,0,38004.40,HOLD
19,9154.35,38004.40,0,38004.40,HOLD
20,9333.16,38004.40,0,38004.40,HOLD
21,9472.08,28532.32,1,38004.40,BUY
22,9863.27,38395.59,0,38395.59,SELL
23,9748.38,28647.21,1,38395.59,BUY
24,10112.44,18534.77,2,38759.65,BUY
25,9863.67,18534.77,2,38262.11,HOLD
26,10350.96,28885.73,1,39236.69,SELL
27,10420.54,28885.73,1,39306.27,HOLD
28,10627.45,39513.18,0,39513.18,SELL
29,10464.00,39513.18,0,39513.18,HOLD
30,10943.72,39513.18,0,39513.18,HOLD
31,10877.16,28636.02,1,39513.18,BUY
32,11132.10,39768.12,0,39768.12,SELL
33,11507.46,39768.12,0,39768.12,HOLD
34,11836.18,39768.12,0,39768.12,HOLD
35,10875.02,39768.12,0,39768.12,HOLD
36,10783.81,28984.31,1,39768.12,BUY
37,10520.22,28984.31,1,39504.53,HOLD
38,11240.53,28984.31,1,40224.84,HOLD
39,11384.33,40368.64,0,40368.64,SELL
40,11559.10,28809.54,1,40368.64,BUY
41,11369.29,17440.25,2,40178.83,BUY
42,11030.19,28470.44,1,39500.63,SELL
43,11784.15,16686.29,2,40254.59,BUY
44,11666.37,16686.29,2,40019.03,HOLD
45,11760.98,4925.31,3,40208.25,BUY
46,12154.57,17079.88,2,41389.02,SELL
47,12376.44,29456.32,1,41832.76,SELL
48,12246.77,41703.09,0,41703.09,SELL
49,12654.60,29048.49,1,41703.09,BUY
50,12827.44,16221.05,2,41875.93,BUY
51,12665.65,16221.05,2,41552.35,HOLD
52,12963.92,29184.97,1,42148.89,SELL
53,13329.77,42514.74,0,42514.74,SELL
54,13192.91,42514.74,0,42514.74,HOLD
55,13585.34,28929.40,1,42514.74,BUY
56,13845.47,42774.87,0,42774.87,SELL
57,13714.35,42774.87,0,42774.87,HOLD
58,13066.38,42774.87,0,42774.87,HOLD
59,12553.96,30220.91,1,42774.87,BUY
60,13246.33,16974.58,2,43467.24,BUY
61,13101.92,30076.50,1,43178.42,SELL
62,12786.81,42863.31,0,42863.31,SELL
63,13404.18,42863.31,0,42863.31,HOLD
64,13748.35,42863.31,0,42863.31,HOLD
65,13977.05,28886.26,1,42863.31,BUY
66,13856.83,42743.09,0,42743.09,SELL
67,13941.63,28801.46,1,42743.09,BUY
68,13690.75,42492.21,0,42492.21,SELL
69,13242.97,42492.21,0,42492.21,HOLD
70,13463.26,42492.21,0,42492.21,HOLD
71,13747.61,42492.21,0,42492.21,HOLD
72,13784.89,42492.21,0,42492.21,HOLD
73,14056.67,28435.54,1,42492.21,BUY
74,13960.04,42395.58,0,42395.58,SELL
75,14417.20,42395.58,0,42395.58,HOLD
76,14529.80,42395.58,0,42395.58,HOLD
77,14660.19,42395.58,0,42395.58,HOLD
78,14271.23,42395.58,0,42395.58,HOLD
79,14503.76,42395.58,0,42395.58,HOLD
80,14584.09,42395.58,0,42395.58,HOLD
81,14754.48,42395.58,0,42395.58,HOLD
82,14550.88,42395.58,0,42395.58,HOLD
83,14965.54,42395.58,0,42395.58,HOLD
84,15202.67,42395.58,0,42395.58,HOLD
85,15206.61,42395.58,0,42395.58,HOLD
86,14984.68,42395.58,0,42395.58,HOLD
87,14767.01,42395.58,0,42395.58,HOLD
88,14493.67,42395.58,0,42395.58,HOLD
89,14259.07,42395.58,0,42395.58,HOLD
90,14471.88,27923.70,1,42395.58,BUY
91,15071.15,42994.85,0,42994.85,SELL
92,15235.84,42994.85,0,42994.85,HOLD
93,15616.44,27378.41,1,42994.85,BUY
94,15543.68,42922.09,0,42922.09,SELL
95,15909.39,27012.70,1,42922.09,BUY
96,15591.36,27012.70,1,42604.06,HOLD
97,15150.12,42162.82,0,42162.82,SELL
98,15511.12,42162.82,0,42162.82,HOLD
99,15119.49,42162.82,0,42162.82,HOLD
100,15528.91,42162.82,0,42162.82,HOLD
101,15643.93,42162.82,0,42162.82,HOLD
102,14877.63,42162.82,0,42162.82,HOLD
103,14689.43,42162.82,0,42162.82,HOLD
104,13094.65,29068.17,1,42162.82,BUY
105,13767.71,29068.17,1,42835.88,HOLD
106,13974.10,43042.27,0,43042.27,SELL
107,13664.76,43042.27,0,43042.27,HOLD
108,13249.65,43042.27,0,43042.27,HOLD
109,13441.32,43042.27,0,43042.27,HOLD
110,12670.08,30372.19,1,43042.27,BUY
111,12616.59,30372.19,1,42988.78,HOLD
112,13857.29,16514.90,2,44229.48,BUY
113,14419.40,2095.50,3,45353.70,BUY
114,14169.12,2095.50,3,44602.86,HOLD
115,13317.74,2095.50,3,42048.72,HOLD
116,13426.12,2095.50,3,42373.86,HOLD
117,12430.90,2095.50,3,39388.20,HOLD
118,12367.02,2095.50,3,39196.56,HOLD
119,11339.18,13434.68,2,36113.04,SELL
120,11381.69,24816.37,1,36198.06,SELL
121,11211.85,13604.52,2,36028.22,BUY
122,11901.45,13604.52,2,37407.42,HOLD
123,11751.98,13604.52,2,37108.48,HOLD
124,10565.14,13604.52,2,34734.80,HOLD
125,11337.78,2266.74,3,36280.08,BUY
126,10922.71,13189.45,2,35034.87,SELL
127,11348.06,24537.51,1,35885.57,SELL
128,11322.84,24537.51,1,35860.35,HOLD
129,11707.53,12829.98,2,36245.04,BUY
130,12271.98,25101.96,1,37373.94,SELL
131,12597.75,37699.71,0,37699.71,SELL
132,12993.78,37699.71,0,37699.71,HOLD
133,12353.73,37699.71,0,37699.71,HOLD
134,11981.42,25718.29,1,37699.71,BUY
135,11471.50,25718.29,1,37189.79,HOLD
136,11604.43,37322.72,0,37322.72,SELL
137,11343.72,25979.00,1,37322.72,BUY
138,10741.02,25979.00,1,36720.02,HOLD
139,11044.04,14934.96,2,37023.04,BUY
140,10351.98,25286.94,1,35638.92,SELL
141,10670.12,14616.82,2,35957.06,BUY
142,10996.97,3619.85,3,36610.76,BUY
143,10881.19,3619.85,3,36263.42,HOLD
144,10472.73,14092.58,2,35038.04,SELL
145,11241.15,14092.58,2,36574.88,HOLD
146,10975.66,3116.92,3,36043.90,BUY
147,10966.53,14083.45,2,36016.51,SELL
148,10910.62,24994.07,1,35904.69,SELL
149,11065.24,24994.07,1,36059.31,HOLD
150,10569.20,35563.27,0,35563.27,SELL
151,10301.06,35563.27,0,35563.27,HOLD
152,10265.04,35563.27,0,35563.27,HOLD
153,10900.16,35563.27,0,35563.27,HOLD
154,11144.03,35563.27,0,35563.27,HOLD
155,11388.54,24174.73,1,35563.27,BUY
156,11843.49,36018.22,0,36018.22,SELL
157,11719.73,36018.22,0,36018.22,HOLD
158,11491.18,36018.22,0,36018.22,HOLD
159,11435.39,36018.22,0,36018.22,HOLD
160,11512.03,36018.22,0,36018.22,HOLD
161,11284.93,36018.22,0,36018.22,HOLD
162,11724.91,36018.22,0,36018.22,HOLD
163,11635.03,24383.19,1,36018.22,BUY
164,12081.81,36465.00,0,36465.00,SELL
165,11916.54,36465.00,0,36465.00,HOLD
166,12060.17,36465.00,0,36465.00,HOLD
167,11833.07,36465.00,0,36465.00,HOLD
168,12022.46,24442.54,1,36465.00,BUY
169,12180.86,24442.54,1,36623.40,HOLD
170,12335.02,12107.52,2,36777.56,BUY
171,12415.85,12107.52,2,36939.22,HOLD
172,12903.63,25011.15,1,37914.78,SELL
173,13101.18,38112.33,0,38112.33,SELL
174,13561.37,24550.96,1,38112.33,BUY
175,13442.65,24550.96,1,37993.61,HOLD
176,13716.16,10834.80,2,38267.12,BUY
177,13584.87,24419.67,1,38004.54,SELL
178,14138.00,38557.67,0,38557.67,SELL
179,13997.13,38557.67,0,38557.67,HOLD
180,14292.75,38557.67,0,38557.67,HOLD
181,13864.92,24692.75,1,38557.67,BUY
182,13582.49,11110.26,2,38275.24,BUY
183,13325.59,24435.85,1,37761.44,SELL
184,13626.64,38062.49,0,38062.49,SELL
185,13945.65,38062.49,0,38062.49,HOLD
186,13763.69,38062.49,0,38062.49,HOLD
187,13578.87,38062.49,0,38062.49,HOLD
188,13033.40,38062.49,0,38062.49,HOLD
189,13008.60,38062.49,0,38062.49,HOLD
190,13491.81,38062.49,0,38062.49,HOLD
191,13364.74,38062.49,0,38062.49,HOLD
192,13022.85,25039.64,1,38062.49,BUY
193,12697.04,37736.68,0,37736.68,SELL
194,13516.56,24220.12,1,37736.68,BUY
195,14003.14,38223.26,0,38223.26,SELL
196,14146.30,38223.26,0,38223.26,HOLD
197,14247.89,38223.26,0,38223.26,HOLD
198,14138.51,24084.75,1,38223.26,BUY
199,14517.53,38602.28,0,38602.28,SELL
200,14776.29,38602.28,0,38602.28,HOLD
201,15087.22,38602.28,0,38602.28,HOLD
202,14477.57,24124.71,1,38602.28,BUY
203,14931.88,9192.83,2,39056.59,BUY
204,15333.63,9192.83,2,39860.09,HOLD
205,15449.87,24642.70,1,40092.57,SELL
206,15471.68,40114.38,0,40114.38,SELL
207,15917.87,40114.38,0,40114.38,HOLD
208,15508.50,40114.38,0,40114.38,HOLD
209,15940.51,24173.87,1,40114.38,BUY
210,15862.63,40036.50,0,40036.50,SELL
211,15992.98,40036.50,0,40036.50,HOLD
212,15951.86,24084.64,1,40036.50,BUY
213,16312.95,7771.69,2,40397.59,BUY
214,16169.31,7771.69,2,40110.31,HOLD
215,16092.02,23863.71,1,39955.73,SELL
216,15654.51,23863.71,1,39518.22,HOLD
217,15634.44,23863.71,1,39498.15,HOLD
218,15557.64,23863.71,1,39421.35,HOLD
219,16226.07,23863.71,1,40089.78,HOLD
220,16544.09,40407.80,0,40407.80,SELL
221,16712.09,40407.80,0,40407.80,HOLD
222,16690.36,23717.44,1,40407.80,BUY
223,17123.59,6593.85,2,40841.03,BUY
224,17566.32,6593.85,2,41726.49,HOLD
225,17620.57,6593.85,2,41834.99,HOLD
226,17723.83,24317.68,1,42041.51,SELL
227,18342.60,24317.68,1,42660.28,HOLD
228,18397.83,24317.68,1,42715.51,HOLD
229,17839.76,42157.44,0,42157.44,SELL
230,17299.83,42157.44,0,42157.44,HOLD
231,15708.54,42157.44,0,42157.44,HOLD
232,16699.39,42157.44,0,42157.44,HOLD
233,17585.58,42157.44,0,42157.44,HOLD
234,17645.69,42157.44,0,42157.44,HOLD
235,17057.79,42157.44,0,42157.44,HOLD
236,16801.13,42157.44,0,42157.44,HOLD
237,17544.64,42157.44,0,42157.44,HOLD
238,17863.38,42157.44,0,42157.44,HOLD
239,17779.77,42157.44,0,42157.44,HOLD
240,17989.70,24167.74,1,42157.44,BUY
241,18252.52,42420.26,0,42420.26,SELL
242,18413.47,42420.26,0,42420.26,HOLD
243,18509.59,42420.26,0,42420.26,HOLD
244,18250.71,42420.26,0,42420.26,HOLD
245,19168.52,42420.26,0,42420.26,HOLD
246,18689.83,42420.26,0,42420.26,HOLD
247,19100.73,42420.26,0,42420.26,HOLD
248,19575.39,22844.87,1,42420.26,BUY
249,19830.64,42675.51,0,42675.51,SELL
250,19336.59,42675.51,0,42675.51,BUY;LIQUIDATE
251,19888.11,42675.51,0,42675.51,HOLD
